id,label,degree,weightedDegree,community,matrixOrder
25,Node 25,56,865.0,1,0
60,Node 60,53,1214.0,1,1
35,Node 35,51,705.0,1,2
88,Node 88,38,475.0,1,3
80,Node 80,37,463.0,1,4
73,Node 73,36,363.0,1,5
44,Node 44,34,250.0,1,6
61,Node 61,34,112.0,1,7
14,Node 14,25,491.0,1,8
16,Node 16,24,565.0,1,9
77,Node 77,22,378.0,1,10
55,Node 55,21,102.0,1,11
13,Node 13,19,83.0,1,12
15,Node 15,19,220.0,1,13
22,Node 22,19,88.0,1,14
9,Node 9,18,86.0,1,15
29,Node 29,18,71.0,1,16
84,Node 84,17,117.0,1,17
12,Node 12,16,109.0,1,18
33,Node 33,16,143.0,1,19
86,Node 86,10,30.0,1,20
3,Node 3,7,30.0,1,21
68,Node 68,6,18.0,1,22
28,Node 28,5,10.0,1,23
36,Node 36,5,19.0,1,24
72,Node 72,3,13.0,1,25
41,Node 41,1,1.0,1,26
79,Node 79,1,1.0,1,27
54,Node 54,39,1252.0,2,28
48,Node 48,38,766.0,2,29
24,Node 24,33,798.0,2,30
52,Node 52,31,572.0,2,31
63,Node 63,30,195.0,2,32
57,Node 57,29,634.0,2,33
17,Node 17,27,183.0,2,34
26,Node 26,24,714.0,2,35
46,Node 46,24,291.0,2,36
67,Node 67,24,297.0,2,37
76,Node 76,20,164.0,2,38
65,Node 65,17,126.0,2,39
32,Node 32,16,115.0,2,40
78,Node 78,16,66.0,2,41
51,Node 51,11,28.0,2,42
27,Node 27,10,113.0,2,43
34,Node 34,1,13.0,2,44
30,Node 30,45,351.0,3,45
23,Node 23,41,507.0,3,46
58,Node 58,38,208.0,3,47
66,Node 66,25,485.0,3,48
71,Node 71,25,1113.0,3,49
21,Node 21,23,93.0,3,50
62,Node 62,22,213.0,3,51
7,Node 7,21,116.0,3,52
8,Node 8,20,333.0,3,53
0,Node 0,14,732.0,3,54
69,Node 69,12,52.0,3,55
5,Node 5,11,40.0,3,56
59,Node 59,11,51.0,3,57
81,Node 81,11,24.0,3,58
82,Node 82,11,263.0,3,59
85,Node 85,42,384.0,4,60
87,Node 87,40,311.0,4,61
39,Node 39,37,293.0,4,62
1,Node 1,31,399.0,4,63
83,Node 83,31,382.0,4,64
11,Node 11,28,228.0,4,65
64,Node 64,26,270.0,4,66
45,Node 45,10,102.0,4,67
89,Node 89,10,49.0,4,68
42,Node 42,9,93.0,4,69
31,Node 31,8,35.0,4,70
75,Node 75,4,6.0,4,71
6,Node 6,1,1.0,4,72
4,Node 4,46,518.0,5,73
37,Node 37,23,98.0,5,74
18,Node 18,22,168.0,5,75
47,Node 47,17,93.0,5,76
38,Node 38,14,237.0,5,77
53,Node 53,13,47.0,5,78
10,Node 10,12,87.0,5,79
74,Node 74,12,45.0,5,80
49,Node 49,59,931.0,6,81
43,Node 43,35,516.0,6,82
2,Node 2,18,110.0,6,83
50,Node 50,18,117.0,6,84
56,Node 56,18,269.0,6,85
40,Node 40,2,4.0,6,86
19,Node 19,16,329.0,7,87
70,Node 70,13,380.0,7,88
