cost_rank,expensive_rank,state_name,state_abbr,cost_index,grocery_cost,housing_cost,utilities_cost,transportation_cost,misc_cost,latitude,longitude,is_top_ten_expensive
1,1,Hawaii,HI,192.9,169.3,318.6,172.7,148.6,116.8,19.898682,-155.665857,True
3,2,California,CA,151.7,121.4,227.3,117.7,138.9,114.5,36.778261,-119.417932,True
4,3,New York,NY,139.1,114.8,204.4,108.7,116.6,104.8,43.299428,-74.217933,True
5,4,Oregon,OR,134.2,110.3,181.8,88.0,136.7,113.2,43.804133,-120.554201,True
6,5,Massachusetts,MA,131.6,113.9,170.3,109.7,116.0,117.6,42.407211,-71.382437,True
7,6,Alaska,AK,129.9,134.2,133.9,154.2,130.8,150.9,63.588753,-154.493062,True
8,7,Maryland,MD,129.7,108.5,184.5,107.3,116.7,89.2,39.045755,-76.641271,True
9,8,Connecticut,CT,127.7,114.2,144.7,128.1,111.8,113.7,41.603221,-73.087749,True
10,9,New Jersey,NJ,125.1,109.5,163.1,101.6,111.1,101.7,40.058324,-74.405661,True
11,10,Rhode Island,RI,119.4,106.2,129.4,123.5,124.0,109.3,41.580095,-71.477429,True
12,11,Maine,ME,117.5,107.0,123.1,116.1,121.4,121.8,45.253783,-69.445469,False
13,12,Vermont,VT,114.5,111.3,126.7,120.2,119.9,101.2,44.558803,-72.577841,False
14,13,Washington,WA,110.7,107.8,117.8,88.7,121.7,118.9,47.751074,-120.740139,False
15,14,New Hampshire,NH,109.7,100.4,110.3,119.5,111.4,116.1,43.193852,-71.572395,False
16,15,Nevada,NV,108.5,108.3,121.8,89.0,123.5,105.7,38.80261,-116.419389,False
17,16,Delaware,DE,108.1,113.4,98.2,96.5,107.0,101.6,38.910832,-75.52767,False
18,17,Montana,MT,106.9,105.1,111.6,83.9,125.0,98.4,46.879682,-110.362566,False
19,18,Colorado,CO,105.6,102.5,119.0,88.4,101.2,102.9,39.550051,-105.782067,False
20,19,Pennsylvania,PA,101.7,106.9,100.8,106.0,109.5,91.9,41.203322,-77.194525,False
21,20,Minnesota,MN,101.6,106.7,88.3,96.8,103.7,108.6,46.729553,-94.6859,False
22,21,Virginia,VA,100.7,96.1,108.0,99.2,88.1,97.2,37.431573,-78.656894,False
23,22,South Dakota,SD,99.8,107.0,109.8,91.8,89.8,103.0,43.969515,-99.901813,False
24,23,North Dakota,ND,98.8,108.1,90.3,93.6,104.3,111.7,47.551493,-101.002012,False
25,24,Utah,UT,98.4,98.5,93.6,89.4,108.6,96.0,39.32098,-111.093731,False
26,25,Florida,FL,97.9,104.0,95.4,102.2,96.7,96.9,27.664827,-81.515754,False
27,26,Wisconsin,WI,97.3,100.7,91.4,98.9,98.1,115.2,43.78444,-88.787868,False
28,27,Arizona,AZ,97.0,96.9,91.7,107.4,109.6,94.7,34.048928,-111.093731,False
29,28,South Carolina,SC,95.9,101.9,85.1,107.6,88.0,94.2,33.836081,-81.163725,False
30,29,North Carolina,NC,94.9,96.6,83.1,97.9,93.4,110.6,35.759573,-79.0193,False
31,30,Illinois,IL,94.5,94.2,87.2,100.9,100.9,99.0,40.633125,-89.398528,False
32,31,Louisiana,LA,93.9,99.9,86.6,89.3,98.5,98.8,31.244823,-92.145024,False
33,32,Idaho,ID,92.3,92.2,87.1,82.9,106.7,97.3,44.068202,-114.742041,False
34,33,Texas,TX,91.5,88.9,85.3,102.3,91.4,96.2,31.968599,-99.901813,False
35,34,West Virginia,WV,91.1,92.9,79.6,89.0,93.5,89.1,38.597626,-80.454903,False
36,35,Kentucky,KY,90.9,89.9,77.4,97.6,92.8,89.2,37.839333,-84.270018,False
37,36,Ohio,OH,90.8,98.7,73.6,91.8,96.7,97.6,40.417287,-82.907123,False
38,37,Nebraska,NE,90.8,95.5,80.9,90.8,94.3,99.9,41.492537,-99.901813,False
39,38,Iowa,IA,90.1,95.9,79.6,95.3,95.5,97.8,41.878003,-93.097702,False
40,39,Indiana,IN,90.0,93.3,77.3,97.0,93.1,94.3,40.551217,-85.602364,False
41,40,Alabama,AL,89.3,97.4,71.5,103.3,88.6,90.8,32.318231,-86.902298,False
42,41,Wyoming,WY,89.3,98.7,72.3,87.3,99.3,94.9,43.075968,-107.290284,False
43,42,Georgia,GA,89.2,96.9,73.8,92.4,97.6,98.5,32.157435,-82.907123,False
44,43,Kansas,KS,89.0,91.9,73.8,103.0,92.3,98.9,39.011902,-98.484246,False
45,44,Michigan,MI,88.9,89.3,75.2,97.3,97.4,93.0,44.314844,-85.602364,False
46,45,Tennessee,TN,88.7,93.3,80.2,93.4,89.7,88.5,35.517491,-86.580447,False
47,46,New Mexico,NM,87.5,100.9,77.7,87.9,91.6,100.1,34.97273,-105.032363,False
48,47,Missouri,MO,87.1,96.6,70.6,99.6,87.3,95.7,37.964253,-91.831833,False
49,48,Oklahoma,OK,87.0,95.4,71.9,94.1,89.5,93.2,35.007752,-97.092877,False
50,49,Arkansas,AR,86.9,92.0,73.9,91.8,83.6,85.6,35.20105,-91.831833,False
51,50,Mississippi,MS,86.1,91.6,70.1,89.1,89.2,91.4,32.354668,-89.398528,False
